rho2,dataset,experiment,n,mean_d_A,mean_d_B,frac_closer_to_B,wilcoxon_p
0.01,weather,control (swap invariant),1236,0.73744094,0.72468346,0.5,0.9559379109584968
0.01,exchange_rate,main (swap dynamic),42,0.74812573,0.84892935,0.42857142857142855,0.4799598372487708
0.01,exchange_rate,control (swap invariant),42,0.7997521,0.92639107,0.4523809523809524,0.3921185261519895
0.01,traffic,main (swap dynamic),7698,0.4703946,0.58335835,0.4256949857105742,1.1291222504918241e-70
0.01,traffic,control (swap invariant),7698,0.48924977,0.54307824,0.48467134320602756,3.108496128166377e-10
0.01,solar,main (swap dynamic),6841,0.671257,0.84896684,0.4405788627393656,2.6876770519516415e-28
0.01,solar,control (swap invariant),6841,0.70782095,0.81453204,0.4626516591141646,3.702720662202535e-11
0.01,PEMS08,main (swap dynamic),3614,0.46178412,0.4929073,0.48450470392916434,0.0143936650103324
0.01,PEMS08,control (swap invariant),3614,0.46756268,0.4799591,0.5199225235196459,0.4845113446711805
0.01,AQWan,main (swap dynamic),296,0.5270352,0.48196545,0.5641891891891891,0.060832046393303627
0.01,AQWan,control (swap invariant),296,0.5015031,0.47808698,0.5135135135135135,0.7513478101483105
0.01,Wind,main (swap dynamic),408,0.64890915,0.58550143,0.553921568627451,0.035586705442868495
0.01,Wind,control (swap invariant),408,0.65982205,0.5477459,0.5637254901960784,0.0014352743452331004
0.01,ZafNoo,main (swap dynamic),81,0.49970397,0.61798984,0.5061728395061729,0.5265608113399826
0.01,ZafNoo,control (swap invariant),81,0.50553757,0.6446236,0.41975308641975306,0.038962367141612116
0.01,CzeLan,main (swap dynamic),242,0.5020392,0.48986143,0.49173553719008267,0.9090734720967947
0.01,CzeLan,control (swap invariant),242,0.527986,0.47346175,0.5082644628099173,0.2589941697146446
0.01,Combined,main (swap dynamic),22714,0.54441017,0.6408298,0.45482962049837106,1.8606432049386232e-64
0.01,Combined,control (swap invariant),22714,0.5660377,0.61564296,0.4885092894250242,2.3340423386758794e-12
0.1,ETTh1,main (swap dynamic),34,0.47755724,0.3338168,0.6470588235294118,0.06958918331656605
0.1,ETTh1,control (swap invariant),34,0.44408584,0.29706463,0.6470588235294118,0.054769040434621274
0.1,ETTm1,main (swap dynamic),496,0.3821281,0.47523037,0.4092741935483871,8.555066855399705e-07
0.1,ETTm1,control (swap invariant),496,0.42545205,0.4356364,0.4838709677419355,0.5098191284186013
0.1,electricity,main (swap dynamic),1322,0.4020248,0.3701493,0.5423600605143721,0.001025628549381792
0.1,electricity,control (swap invariant),1322,0.41143212,0.41750756,0.5022692889561271,0.7994366129831183
0.1,ETTh2,main (swap dynamic),39,0.43401772,0.49738222,0.4358974358974359,0.17558441741130082
0.1,ETTh2,control (swap invariant),39,0.46287796,0.48317772,0.5384615384615384,0.8306541132660641
0.1,ETTm2,main (swap dynamic),365,0.5781653,0.6472214,0.4794520547945205,0.08102299476058647
0.1,ETTm2,control (swap invariant),365,0.6292476,0.5999947,0.5561643835616439,0.44209786031369647
0.1,weather,main (swap dynamic),1236,0.738744,0.72718656,0.4967637540453074,0.9071468192871458
0.1,weather,control (swap invariant),1236,0.7430251,0.7262019,0.49029126213592233,0.9124523755642004
0.1,exchange_rate,main (swap dynamic),42,0.7543035,0.9120784,0.42857142857142855,0.30862450609993175
0.1,exchange_rate,control (swap invariant),42,0.80783814,0.9461999,0.4523809523809524,0.39905179274546754
0.1,traffic,main (swap dynamic),7698,0.4810819,0.55785125,0.45946999220576773,1.314447904803221e-32
0.1,traffic,control (swap invariant),7698,0.46603712,0.55271596,0.441153546375682,7.001596972847572e-49
0.1,solar,main (swap dynamic),6841,0.66858244,0.8164426,0.45943575500657796,4.293345263959078e-18
0.1,solar,control (swap invariant),6841,0.6870203,0.8096752,0.4480339131705891,1.8248292132996836e-17
0.1,PEMS08,main (swap dynamic),3614,0.46503022,0.4926784,0.49889319313779745,0.30341691163919327
0.1,PEMS08,control (swap invariant),3614,0.4605837,0.47501355,0.5160486995019369,0.5178373560925784
0.1,AQWan,main (swap dynamic),296,0.52092886,0.47256237,0.5709459459459459,0.04012274356223631
0.1,AQWan,control (swap invariant),296,0.5035902,0.4642603,0.5135135135135135,0.4550418493959043
